ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
368,Sylvain Marveaux,fr FRA,MF,Lorient,34,1986,9,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/4ef705ab/Sylvain-Marveaux,https://fbref.com/req/202302030/images/headshots/4ef705ab_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sylvain_Marveaux.jpg
369,Pape Matar Sarr,sn SEN,MF,Metz,17,2002,22,18,"1,594",17.7,3,0,3,3,0,0,5,0,0.17,0.0,0.17,0.17,0.17,Matches,https://fbref.com/en/players/feb5d972/Pape-Matar-Sarr,https://fbref.com/req/202302030/images/headshots/feb5d972_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pape_Matar_Sarr.jpg
370,Eliot Matazo,be BEL,MF,Monaco,18,2002,10,3,314,3.5,1,1,2,1,0,0,0,1,0.29,0.29,0.57,0.29,0.57,Matches,https://fbref.com/en/players/15944afd/Eliot-Matazo,https://fbref.com/req/202302030/images/headshots/15944afd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Eliot_Matazo.jpg
371,Chrislain Matsima,fr FRA,DF,Monaco,18,2002,9,3,352,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/cf1ef7ec/Chrislain-Matsima,https://fbref.com/req/202302030/images/headshots/cf1ef7ec_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Chrislain_Matsima.jpg
372,Tony Mauricio,fr FRA,MF,Lens,26,1994,26,2,502,5.6,0,4,4,0,0,0,3,0,0.0,0.72,0.72,0.0,0.72,Matches,https://fbref.com/en/players/96e5168e/Tony-Mauricio,https://fbref.com/req/202302030/images/headshots/96e5168e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Tony_Mauricio.jpg
373,Stephy Mavididi,eng ENG,"FW,MF",Montpellier,22,1998,35,23,"2,030",22.6,9,0,9,9,0,0,3,0,0.4,0.0,0.4,0.4,0.4,Matches,https://fbref.com/en/players/30144daa/Stephy-Mavididi,https://fbref.com/req/202302030/images/headshots/30144daa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stephy_Mavididi.jpg
374,Youssef Maziz,fr FRA,MF,Metz,22,1998,11,2,257,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/514270e8/Youssef-Maziz,https://fbref.com/req/202302030/images/headshots/514270e8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Youssef_Maziz.jpg
375,Kylian Mbappé,fr FRA,"FW,MF",Paris Saint-Germain,21,1998,31,27,"2,380",26.4,27,7,34,21,6,6,5,0,1.02,0.26,1.29,0.79,1.06,Matches,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe,https://fbref.com/req/202302030/images/headshots/42fd9c7f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kylian_Mbappé.jpg
376,Hianga'a Mbock,fr FRA,MF,Brest,20,1999,12,4,458,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0f86995c/Hiangaa-Mbock,https://fbref.com/req/202302030/images/headshots/0f86995c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hianga'a_Mbock.jpg
377,Nathanael Mbuku,cd COD,"MF,FW",Reims,18,2002,32,28,"2,210",24.6,4,1,5,4,0,0,3,0,0.16,0.04,0.2,0.16,0.2,Matches,https://fbref.com/en/players/46750e9c/Nathanael-Mbuku,https://fbref.com/req/202302030/images/headshots/46750e9c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nathanael_Mbuku.jpg
378,Facundo Medina,ar ARG,DF,Lens,21,1999,24,23,"2,007",22.3,2,0,2,2,0,0,11,0,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/6f5ec8bb/Facundo-Medina,https://fbref.com/req/202302030/images/headshots/6f5ec8bb_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Facundo_Medina.jpg
379,Farid El Melali,dz ALG,MF,Angers,23,1997,17,4,414,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d21e361a/Farid-El-Melali,https://fbref.com/req/202302030/images/headshots/d21e361a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Farid_El_Melali.jpg
