ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
73,Loïc Bessile,tg TOG,DF,Bordeaux,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/4e9957ff/Loic-Bessile,https://fbref.com/req/202302030/images/headshots/4e9957ff_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Loïc_Bessile.jpg
74,Giulian Biancone,fr FRA,DF,Monaco,20,2000,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/de40e38c/Giulian-Biancone,https://fbref.com/req/202302030/images/headshots/de40e38c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Giulian_Biancone.jpg
75,El Bilal Touré,ml MLI,FW,Reims,18,2001,33,11,"1,245",13.8,4,1,5,4,0,0,4,0,0.29,0.07,0.36,0.29,0.36,Matches,https://fbref.com/en/players/47c609d5/El-Bilal-Toure,https://fbref.com/req/202302030/images/headshots/47c609d5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\El_Bilal_Touré.jpg
76,Ludovic Blas,fr FRA,"MF,FW",Nantes,22,1997,36,32,"2,787",31.0,10,4,14,10,0,0,5,0,0.32,0.13,0.45,0.32,0.45,Matches,https://fbref.com/en/players/6191093d/Ludovic-Blas,https://fbref.com/req/202302030/images/headshots/6191093d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ludovic_Blas.jpg
77,Antonin Bobichon,fr FRA,"MF,FW",Angers,24,1995,23,10,911,10.1,0,1,1,0,0,0,0,0,0.0,0.1,0.1,0.0,0.1,Matches,https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,https://fbref.com/req/202302030/images/headshots/7d937aa1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Antonin_Bobichon.jpg
78,Sacha Boey,fr FRA,DF,Dijon,19,2000,24,21,"1,863",20.7,0,1,1,0,0,0,1,0,0.0,0.05,0.05,0.0,0.05,Matches,https://fbref.com/en/players/6c8ddd52/Sacha-Boey,https://fbref.com/req/202302030/images/headshots/6c8ddd52_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sacha_Boey.jpg
79,Sacha Boey,fr FRA,DF,Rennes,19,2000,2,2,124,1.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6c8ddd52/Sacha-Boey,https://fbref.com/req/202302030/images/headshots/6c8ddd52_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sacha_Boey.jpg
80,Quentin Boisgard,fr FRA,"MF,FW",Lorient,23,1997,24,17,"1,314",14.6,2,2,4,2,0,0,5,0,0.14,0.14,0.27,0.14,0.27,Matches,https://fbref.com/en/players/f6496133/Quentin-Boisgard,https://fbref.com/req/202302030/images/headshots/f6496133_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Quentin_Boisgard.jpg
81,Sven Botman,nl NED,DF,Lille,20,2000,37,37,"3,309",36.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ccce7025/Sven-Botman,https://fbref.com/req/202302030/images/headshots/ccce7025_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sven_Botman.jpg
82,Denis Bouanga,ga GAB,"MF,FW",Saint-Étienne,25,1994,36,30,"2,720",30.2,7,4,11,4,3,4,7,0,0.23,0.13,0.36,0.13,0.26,Matches,https://fbref.com/en/players/0b0cbe5b/Denis-Bouanga,https://fbref.com/req/202302030/images/headshots/0b0cbe5b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Denis_Bouanga.jpg
83,Hicham Boudaoui,dz ALG,MF,Nice,20,1999,25,22,"1,736",19.3,3,2,5,3,0,0,9,0,0.16,0.1,0.26,0.16,0.26,Matches,https://fbref.com/en/players/f9d5908e/Hicham-Boudaoui,https://fbref.com/req/202302030/images/headshots/f9d5908e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hicham_Boudaoui.jpg
84,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30,1990,14,7,651,7.2,0,1,1,0,0,2,2,0,0.0,0.14,0.14,0.0,0.14,Matches,https://fbref.com/en/players/1001ae82/Ryad-Boudebouz,https://fbref.com/req/202302030/images/headshots/1001ae82_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ryad_Boudebouz.jpg
85,Sofiane Boufal,ma MAR,MF,Angers,26,1993,14,9,732,8.1,1,0,1,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,Matches,https://fbref.com/en/players/b0c71810/Sofiane-Boufal,https://fbref.com/req/202302030/images/headshots/b0c71810_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sofiane_Boufal.jpg
86,Farid Boulaya,dz ALG,"MF,FW",Metz,27,1993,33,32,"2,815",31.3,6,8,14,5,1,2,5,0,0.19,0.26,0.45,0.16,0.42,Matches,https://fbref.com/en/players/a0791826/Farid-Boulaya,https://fbref.com/req/202302030/images/headshots/a0791826_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Farid_Boulaya.jpg
87,Ismaël Boura,km COM,"MF,DF",Lens,19,2000,20,8,824,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/62e02107/Ismael-Boura,https://fbref.com/req/202302030/images/headshots/62e02107_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ismaël_Boura.jpg
88,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,26,1994,37,29,"2,552",28.4,6,5,11,6,0,0,8,0,0.21,0.18,0.39,0.21,0.39,Matches,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,https://fbref.com/req/202302030/images/headshots/20e73fac_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Benjamin_Bourigeaud.jpg
89,John Boye,gh GHA,DF,Metz,33,1987,35,35,"3,041",33.8,1,2,3,1,0,0,6,2,0.03,0.06,0.09,0.03,0.09,Matches,https://fbref.com/en/players/861227d2/John-Boye,https://fbref.com/req/202302030/images/headshots/861227d2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\John_Boye.jpg
90,Umut Bozok,tr TUR,FW,Lorient,23,1996,5,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6e2c94ad/Umut-Bozok,https://fbref.com/req/202302030/images/headshots/6e2c94ad_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Umut_Bozok.jpg
91,Domagoj Bradarić,hr CRO,DF,Lille,20,1999,26,14,"1,263",14.0,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,Matches,https://fbref.com/en/players/8bbe2df5/Domagoj-Bradaric,https://fbref.com/req/202302030/images/headshots/8bbe2df5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Domagoj_Bradarić.jpg
92,Lilian Brassier,fr FRA,DF,Brest,20,1999,11,11,962,10.7,1,1,2,1,0,0,3,0,0.09,0.09,0.19,0.09,0.19,Matches,https://fbref.com/en/players/5b146df3/Lilian-Brassier,https://fbref.com/req/202302030/images/headshots/5b146df3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lilian_Brassier.jpg
93,Anthony Briançon,fr FRA,DF,Nîmes,25,1994,16,14,"1,225",13.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/16324e1d/Anthony-Briancon,https://fbref.com/req/202302030/images/headshots/16324e1d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anthony_Briançon.jpg
94,Jimmy Briand,fr FRA,MF,Bordeaux,34,1985,24,1,571,6.3,1,2,3,0,1,1,2,0,0.16,0.32,0.47,0.0,0.32,Matches,https://fbref.com/en/players/f83c8d6c/Jimmy-Briand,https://fbref.com/req/202302030/images/headshots/f83c8d6c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jimmy_Briand.jpg
95,Dylan Bronn,tn TUN,DF,Metz,25,1995,38,38,"3,412",37.9,2,0,2,1,1,2,4,0,0.05,0.0,0.05,0.03,0.03,Matches,https://fbref.com/en/players/edd81e2a/Dylan-Bronn,https://fbref.com/req/202302030/images/headshots/edd81e2a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dylan_Bronn.jpg
96,Lucas Buadés,fr FRA,"DF,MF",Nîmes,22,1997,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f9921b7f/Lucas-Buades,https://fbref.com/req/202302030/images/headshots/f9921b7f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lucas_Buadés.jpg
97,Patrick Burner,mq MTQ,"DF,MF",Nice,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8746d5d0/Patrick-Burner,https://fbref.com/req/202302030/images/headshots/8746d5d0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Patrick_Burner.jpg
98,Patrick Burner,mq MTQ,DF,Nîmes,24,1996,22,14,"1,317",14.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8746d5d0/Patrick-Burner,https://fbref.com/req/202302030/images/headshots/8746d5d0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Patrick_Burner.jpg
99,Marcin Bułka,pl POL,GK,Paris Saint-Germain,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,https://fbref.com/req/202302030/images/headshots/db87a2c4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marcin_Bułka.jpg
100,Jimmy Cabot,fr FRA,MF,Angers,26,1994,22,8,942,10.5,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,Matches,https://fbref.com/en/players/46359159/Jimmy-Cabot,https://fbref.com/req/202302030/images/headshots/46359159_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jimmy_Cabot.jpg
101,Anthony Caci,fr FRA,DF,Strasbourg,23,1997,33,32,"2,797",31.1,0,2,2,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/0118c54c/Anthony-Caci,https://fbref.com/req/202302030/images/headshots/0118c54c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anthony_Caci.jpg
102,Mathieu Cafaro,fr FRA,MF,Reims,23,1997,31,27,"2,074",23.0,4,2,6,4,0,0,3,0,0.17,0.09,0.26,0.17,0.26,Matches,https://fbref.com/en/players/2a657da0/Mathieu-Cafaro,https://fbref.com/req/202302030/images/headshots/2a657da0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mathieu_Cafaro.jpg
103,Yannick Cahuzac,fr FRA,MF,Lens,35,1985,30,26,"2,252",25.0,1,0,1,1,0,0,9,0,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/677ee102/Yannick-Cahuzac,https://fbref.com/req/202302030/images/headshots/677ee102_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yannick_Cahuzac.jpg
104,Marc-Aurèle Caillard,fr FRA,GK,Metz,26,1994,5,4,361,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5ee6e943/Marc-Aurele-Caillard,https://fbref.com/req/202302030/images/headshots/5ee6e943_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marc-Aurèle_Caillard.jpg
105,Duje Ćaleta-Car,hr CRO,DF,Marseille,23,1996,33,32,"2,813",31.3,2,1,3,2,0,0,8,1,0.06,0.03,0.1,0.06,0.1,Matches,https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car,https://fbref.com/req/202302030/images/headshots/94f8d10c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Duje_Ćaleta-Car.jpg
106,Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22,1998,37,37,"3,290",36.6,3,2,5,3,0,0,4,0,0.08,0.05,0.14,0.08,0.14,Matches,https://fbref.com/en/players/8577e60a/Mahdi-Camara,https://fbref.com/req/202302030/images/headshots/8577e60a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mahdi_Camara.jpg
107,Eduardo Camavinga,fr FRA,MF,Rennes,17,2002,35,28,"2,402",26.7,1,2,3,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,https://fbref.com/req/202302030/images/headshots/7b9c2d84_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Eduardo_Camavinga.jpg
108,Pierrick Capelle,fr FRA,"MF,DF",Angers,33,1987,35,24,"2,053",22.8,3,3,6,3,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,https://fbref.com/req/202302030/images/headshots/79b2399c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pierrick_Capelle.jpg
109,Maxence Caqueret,fr FRA,MF,Lyon,20,2000,29,19,"1,761",19.6,0,1,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05,Matches,https://fbref.com/en/players/f81ef10d/Maxence-Caqueret,https://fbref.com/req/202302030/images/headshots/f81ef10d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Maxence_Caqueret.jpg
110,Irvin Cardona,mt MLT,FW,Brest,22,1997,36,22,"2,029",22.5,7,1,8,7,0,0,2,0,0.31,0.04,0.35,0.31,0.35,Matches,https://fbref.com/en/players/5e080f73/Irvin-Cardona,https://fbref.com/req/202302030/images/headshots/5e080f73_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Irvin_Cardona.jpg
111,Lionel Carole,fr FRA,DF,Strasbourg,29,1991,27,14,"1,342",14.9,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,Matches,https://fbref.com/en/players/5b5724d2/Lionel-Carole,https://fbref.com/req/202302030/images/headshots/5b5724d2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lionel_Carole.jpg
112,Moreto Cassamã,gw GNB,MF,Reims,22,1998,29,26,"2,031",22.6,1,1,2,1,0,0,8,3,0.04,0.04,0.09,0.04,0.09,Matches,https://fbref.com/en/players/f54d2149/Moreto-Cassama,https://fbref.com/req/202302030/images/headshots/f54d2149_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moreto_Cassamã.jpg
113,Jean-Charles Castelletto,cm CMR,DF,Nantes,25,1995,24,22,"1,947",21.6,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/e0f3a1f6/Jean-Charles-Castelletto,https://fbref.com/req/202302030/images/headshots/e0f3a1f6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Charles_Castelletto.jpg
114,Zeki Çelik,tr TUR,DF,Lille,23,1997,29,28,"2,381",26.5,3,2,5,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches,https://fbref.com/en/players/31a62dc7/Zeki-Celik,https://fbref.com/req/202302030/images/headshots/31a62dc7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Zeki_Çelik.jpg
115,Bersant Celina,xk KVX,MF,Dijon,23,1996,32,25,"2,298",25.5,0,5,5,0,0,0,5,1,0.0,0.2,0.2,0.0,0.2,Matches,https://fbref.com/en/players/3043d33f/Bersant-Celina,https://fbref.com/req/202302030/images/headshots/3043d33f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bersant_Celina.jpg
116,Fabien Centonze,fr FRA,"DF,MF",Metz,24,1996,36,36,"3,221",35.8,1,0,1,1,0,0,9,0,0.03,0.0,0.03,0.03,0.03,Matches,https://fbref.com/en/players/3c6bbbab/Fabien-Centonze,https://fbref.com/req/202302030/images/headshots/3c6bbbab_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fabien_Centonze.jpg
117,Nassim Chadli,fr FRA,MF,Nîmes,19,2001,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5c61496e/Nassim-Chadli,https://fbref.com/req/202302030/images/headshots/5c61496e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nassim_Chadli.jpg
118,Fouad Chafik,ma MAR,DF,Dijon,33,1986,23,18,"1,622",18.0,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,Matches,https://fbref.com/en/players/edd1466a/Fouad-Chafik,https://fbref.com/req/202302030/images/headshots/edd1466a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fouad_Chafik.jpg
119,Mehdi Chahiri,ma MAR,MF,Strasbourg,24,1996,23,8,801,8.9,2,0,2,2,0,0,0,0,0.22,0.0,0.22,0.22,0.22,Matches,https://fbref.com/en/players/1787195f/Mehdi-Chahiri,https://fbref.com/req/202302030/images/headshots/1787195f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mehdi_Chahiri.jpg
120,Aníbal Chalá,ec ECU,"DF,MF",Dijon,24,1996,13,9,744,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/84c0768a/Anibal-Chala,https://fbref.com/req/202302030/images/headshots/84c0768a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Aníbal_Chalá.jpg
121,Trevoh Chalobah,eng ENG,"DF,MF",Lorient,21,1999,29,24,"2,237",24.9,2,2,4,2,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches,https://fbref.com/en/players/5515376c/Trevoh-Chalobah,https://fbref.com/req/202302030/images/headshots/5515376c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Trevoh_Chalobah.jpg
122,Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,31,1988,36,17,"1,570",17.4,6,1,7,5,1,1,4,0,0.34,0.06,0.4,0.29,0.34,Matches,https://fbref.com/en/players/18ebca4b/Gaetan-Charbonnier,https://fbref.com/req/202302030/images/headshots/18ebca4b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Gaëtan_Charbonnier.jpg
123,Brendan Chardonnet,fr FRA,DF,Brest,25,1994,33,30,"2,716",30.2,3,1,4,3,0,0,3,1,0.1,0.03,0.13,0.1,0.13,Matches,https://fbref.com/en/players/16aa7d4c/Brendan-Chardonnet,https://fbref.com/req/202302030/images/headshots/16aa7d4c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Brendan_Chardonnet.jpg
124,Xavier Chavalerin,fr FRA,MF,Reims,29,1991,30,29,"2,547",28.3,0,3,3,0,0,0,8,0,0.0,0.11,0.11,0.0,0.11,Matches,https://fbref.com/en/players/279ddf6a/Xavier-Chavalerin,https://fbref.com/req/202302030/images/headshots/279ddf6a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Xavier_Chavalerin.jpg
125,Pape Cheikh Diop,sn SEN,MF,Dijon,22,1997,21,13,"1,089",12.1,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/873ce3a2/Pape-Cheikh-Diop,https://fbref.com/req/202302030/images/headshots/873ce3a2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pape_Cheikh_Diop.jpg
126,Rayan Cherki,fr FRA,"FW,MF",Lyon,16,2003,27,5,698,7.8,1,3,4,1,0,0,1,1,0.13,0.39,0.52,0.13,0.52,Matches,https://fbref.com/en/players/b34c63a5/Rayan-Cherki,https://fbref.com/req/202302030/images/headshots/b34c63a5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rayan_Cherki.jpg
127,Pedro Chirivella,es ESP,MF,Nantes,23,1997,32,26,"2,280",25.3,0,2,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches,https://fbref.com/en/players/68a26d51/Pedro-Chirivella,https://fbref.com/req/202302030/images/headshots/68a26d51_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pedro_Chirivella.jpg
128,Joris Chotard,fr FRA,MF,Montpellier,18,2001,29,11,"1,165",12.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7909ffa4/Joris-Chotard,https://fbref.com/req/202302030/images/headshots/7909ffa4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Joris_Chotard.jpg
129,Mounir Chouiar,fr FRA,"MF,FW",Dijon,21,1999,23,14,"1,288",14.3,0,2,2,0,0,1,5,0,0.0,0.14,0.14,0.0,0.14,Matches,https://fbref.com/en/players/45c1c326/Mounir-Chouiar,https://fbref.com/req/202302030/images/headshots/45c1c326_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mounir_Chouiar.jpg
130,Sébastien Cibois,fr FRA,GK,Brest,22,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2b9b37b2/Sebastien-Cibois,https://fbref.com/req/202302030/images/headshots/2b9b37b2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sébastien_Cibois.jpg
131,Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22,1998,30,21,"1,910",21.2,4,5,9,4,0,0,2,0,0.19,0.24,0.42,0.19,0.42,Matches,https://fbref.com/en/players/741418c3/Alexis-Claude-Maurice,https://fbref.com/req/202302030/images/headshots/741418c3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Alexis_Claude-Maurice.jpg
132,Jonathan Clauss,fr FRA,"MF,DF",Lens,27,1992,33,30,"2,521",28.0,3,6,9,3,0,0,2,0,0.11,0.21,0.32,0.11,0.32,Matches,https://fbref.com/en/players/5219ab4a/Jonathan-Clauss,https://fbref.com/req/202302030/images/headshots/5219ab4a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonathan_Clauss.jpg
133,Marcus Coco,fr FRA,MF,Nantes,24,1996,32,16,"1,474",16.4,0,2,2,0,0,0,5,0,0.0,0.12,0.12,0.0,0.12,Matches,https://fbref.com/en/players/3010aefb/Marcus-Coco,https://fbref.com/req/202302030/images/headshots/3010aefb_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marcus_Coco.jpg
134,Racine Coly,sn SEN,DF,Nice,24,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/166a981d/Racine-Coly,https://fbref.com/req/202302030/images/headshots/166a981d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Racine_Coly.jpg
135,Daniel Congré,fr FRA,DF,Montpellier,35,1985,38,38,"3,292",36.6,2,0,2,2,0,0,4,0,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/3f5b4635/Daniel-Congre,https://fbref.com/req/202302030/images/headshots/3f5b4635_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Daniel_Congré.jpg
136,Sébastien Corchia,fr FRA,"DF,MF",Nantes,29,1990,25,23,"2,066",23.0,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,https://fbref.com/req/202302030/images/headshots/0e7ccfc4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sébastien_Corchia.jpg
137,Maxwel Cornet,ci CIV,"DF,MF",Lyon,23,1996,36,29,"2,446",27.2,2,5,7,2,0,0,5,0,0.07,0.18,0.26,0.07,0.26,Matches,https://fbref.com/en/players/beb391dd/Maxwel-Cornet,https://fbref.com/req/202302030/images/headshots/beb391dd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Maxwel_Cornet.jpg
138,David Costa,pt POR,MF,Lens,19,2001,7,1,150,1.7,1,1,2,1,0,0,0,0,0.6,0.6,1.2,0.6,1.2,Matches,https://fbref.com/en/players/59948ef7/David-Costa,https://fbref.com/req/202302030/images/headshots/59948ef7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\David_Costa.jpg
139,Charles Costes,fr FRA,MF,Dijon,17,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/aa67d758/Charles-Costes,,
140,Benoît Costil,fr FRA,GK,Bordeaux,33,1987,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2434f24a/Benoit-Costil,https://fbref.com/req/202302030/images/headshots/2434f24a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Benoît_Costil.jpg
141,Kalifa Coulibaly,ml MLI,FW,Nantes,28,1991,17,11,981,10.9,3,1,4,2,1,1,2,0,0.28,0.09,0.37,0.18,0.28,Matches,https://fbref.com/en/players/9980269a/Kalifa-Coulibaly,https://fbref.com/req/202302030/images/headshots/9980269a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kalifa_Coulibaly.jpg
142,Lassana Coulibaly,ml MLI,MF,Angers,24,1996,29,18,"1,687",18.7,1,1,2,1,0,0,4,1,0.05,0.05,0.11,0.05,0.11,Matches,https://fbref.com/en/players/85a44ecc/Lassana-Coulibaly,https://fbref.com/req/202302030/images/headshots/85a44ecc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lassana_Coulibaly.jpg
143,Senou Coulibaly,ml MLI,DF,Dijon,25,1994,22,22,"1,934",21.5,2,0,2,2,0,0,6,1,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/67b7357e/Senou-Coulibaly,https://fbref.com/req/202302030/images/headshots/67b7357e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Senou_Coulibaly.jpg
144,Nicolas Cozza,fr FRA,DF,Montpellier,21,1999,20,15,"1,369",15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8f325097/Nicolas-Cozza,https://fbref.com/req/202302030/images/headshots/8f325097_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nicolas_Cozza.jpg
